Cod_IBGE;Grande região;Município;casos_20;obitos_20;casos_21;obitos_21
3521200;Interior;Iporanga;2,16E+03;2,27E+01;1,14E+04;1,36E+02
3521309;Interior;Ipuã;4,30E+03;1,51E+02;9,19E+03;2,46E+02
3521408;Interior;Iracemápolis;6,38E+03;8,46E+01;1,36E+04;3,38E+02
3521507;Interior;Irapuã;2,43E+03;5,17E+01;9,93E+03;3,23E+02
3521606;Interior;Irapuru;1,72E+03;4,09E+01;8,26E+03;4,50E+02
3521705;Interior;Itaberá;2,23E+03;2,84E+01;1,15E+04;3,58E+02
3521804;Interior;Itaí;8,22E+02;7,55E+00;1,07E+04;2,75E+02
3521903;Interior;Itajobi;3,63E+03;8,90E+01;1,43E+04;3,08E+02
3522000;Interior;Itaju;5,36E+03;2,74E+01;9,80E+03;1,92E+02
3522109;Interior;Itanhaém;2,23E+03;9,62E+01;4,85E+03;2,48E+02
3522158;Interior;Itaoca;1,35E+03;0,00E+00;7,60E+03;2,51E+02
3522208;RMSP (exceto capital);Itapecerica da Serra;2,00E+03;1,14E+02;3,14E+03;1,63E+02
3522307;Interior;Itapetininga;2,40E+03;4,81E+01;8,60E+03;3,01E+02
3522406;Interior;Itapeva;1,78E+03;6,43E+01;1,12E+04;4,16E+02
3522505;RMSP (exceto capital);Itapevi;1,72E+03;1,08E+02;3,64E+03;1,91E+02
3522604;Interior;Itapira;3,21E+03;7,41E+01;1,06E+04;3,75E+02
3522653;Interior;Itapirapuã Paulista;2,66E+03;2,39E+01;1,08E+04;7,18E+01
3522703;Interior;Itápolis;1,79E+03;3,37E+01;1,21E+04;3,61E+02
3522802;Interior;Itaporanga;1,82E+03;4,77E+01;1,10E+04;3,06E+02
3522901;Interior;Itapuí;3,09E+03;3,63E+01;8,56E+03;2,61E+02
3523008;Interior;Itapura;1,77E+03;4,07E+01;4,60E+03;2,44E+02
3523107;RMSP (exceto capital);Itaquaquecetuba;1,51E+03;9,31E+01;3,98E+03;1,94E+02
3523206;Interior;Itararé;2,05E+03;6,12E+01;1,09E+04;4,53E+02
3523305;Interior;Itariri;3,14E+03;6,95E+01;4,96E+03;1,91E+02
3523404;Interior;Itatiba;2,43E+03;2,80E+01;8,73E+03;1,55E+02
3523503;Interior;Itatinga;1,83E+03;3,41E+01;1,21E+04;2,48E+02
3523602;Interior;Itirapina;2,85E+03;5,83E+01;6,82E+03;1,63E+02
3523701;Interior;Itirapuã;9,40E+02;1,59E+01;4,22E+03;1,11E+02
3523800;Interior;Itobi;5,94E+03;7,89E+01;2,13E+03;2,10E+02
3523909;Interior;Itu;3,14E+03;7,66E+01;1,05E+04;2,29E+02
3524006;Interior;Itupeva;3,96E+03;7,44E+01;7,51E+03;1,76E+02
3524105;Interior;Ituverava;1,80E+03;8,20E+01;5,39E+03;2,93E+02
3524204;Interior;Jaborandi;2,49E+03;4,49E+01;6,17E+03;3,15E+02
3524303;Interior;Jaboticabal;1,54E+03;7,28E+01;8,47E+03;8,76E+01
3524402;Interior;Jacareí;2,68E+03;7,68E+01;8,53E+03;2,61E+02
3524501;Interior;Jaci;5,54E+03;1,00E+02;1,39E+04;3,16E+02
3524600;Interior;Jacupiranga;3,62E+03;1,22E+02;6,29E+03;1,86E+02
